Date	Open	High	Low	Close	Volume	Adj Close
2006-11-13	6208.40	6256.80	6167.30	6192.00	1642079300	6192.00
2006-11-06	6148.10	6250.40	6146.50	6208.40	1503817400	6208.40
2006-10-30	6160.90	6180.70	6110.90	6148.10	1596385800	6148.10
2006-10-23	6155.20	6244.60	6129.10	6160.90	1396431500	6160.90
2006-10-16	6157.30	6199.80	6105.80	6155.20	1455137200	6155.20
2006-10-09	6001.20	6170.50	5994.80	6157.30	1572081000	6157.30
2006-10-02	5960.80	6016.70	5897.30	6001.20	1896821700	6001.20
2006-09-25	5822.30	6002.90	5774.50	5960.80	1678787700	5960.80
2006-09-18	5877.00	5911.90	5820.40	5822.30	1513998400	5822.30
2006-09-11	5879.30	5943.70	5820.00	5877.00	1738331200	5877.00
2006-09-04	5949.10	5991.20	5853.30	5879.30	1208509000	5879.30
2006-08-29	5878.60	5967.70	5878.60	5949.10	1344118000	5949.10
2006-08-21	5903.40	5939.20	5832.50	5878.60	1111028600	5878.60
2006-08-14	5820.10	5932.50	5820.10	5903.40	1397724400	5903.40
2006-08-07	5889.40	5889.40	5752.60	5820.10	1419647900	5820.10
2006-07-31	5974.90	5977.20	5827.10	5889.40	1436231400	5889.40
2006-07-24	5719.70	5982.50	5719.70	5974.90	1510286900	5974.90
2006-07-17	5707.60	5819.70	5654.60	5719.70	1474971600	5719.70
2006-07-10	5888.90	5901.00	5707.60	5707.60	1215261100	5707.60
2006-07-03	5833.40	5908.50	5815.70	5888.90	1186748500	5888.90
2006-06-26	5692.10	5865.70	5633.80	5833.40	1461370600	5833.40
2006-06-19	5597.40	5736.80	5585.00	5692.10	1381106400	5692.10
2006-06-12	5655.20	5701.50	5467.40	5597.40	1904571000	5597.40
2006-06-05	5764.60	5789.80	5562.90	5655.20	1755605700	5655.20
2006-05-30	5791.00	5802.90	5591.50	5764.60	1912442300	5764.60
2006-05-22	5657.40	5791.00	5510.50	5791.00	1942689000	5791.00
2006-05-15	5912.10	5912.10	5618.70	5657.40	2039291800	5657.40
2006-05-08	6091.70	6133.50	5912.10	5912.10	1782256400	5912.10
2006-05-02	6023.10	6100.00	6001.10	6091.70	1770938600	6091.70
2006-04-24	6132.70	6136.50	6023.10	6023.10	1635968000	6023.10
2006-04-18	6029.40	6137.10	6026.10	6132.70	1669011600	6132.70
2006-04-10	6026.10	6092.50	5974.50	6029.40	1720601600	6029.40
2006-04-03	5964.60	6074.20	5964.60	6026.10	1807488800	6026.10
2006-03-27	6036.30	6047.00	5927.20	5964.60	1710599700	5964.60
2006-03-20	5999.40	6039.10	5956.70	6036.30	2006377800	6036.30
2006-03-13	5907.90	6044.00	5907.90	5999.40	2047590600	5999.40
2006-03-06	5858.70	5924.50	5790.90	5907.90	1871918000	5907.90
2006-02-27	5860.50	5893.30	5783.90	5858.70	2028821800	5858.70
2006-02-20	5846.20	5888.00	5829.40	5860.50	1745679000	5860.50
2006-02-13	5764.10	5863.30	5760.30	5846.20	1711304700	5846.20
2006-02-06	5759.30	5808.90	5681.90	5764.10	2012666100	5764.10
2006-01-30	5786.80	5816.00	5728.20	5759.30	1880016700	5759.30
2006-01-23	5672.40	5788.20	5625.00	5786.80	1989199600	5786.80
2006-01-16	5711.00	5740.20	5634.80	5672.40	1839167900	5672.40
2006-01-09	5731.80	5750.30	5686.10	5711.00	1771542200	5711.00
2006-01-03	5618.80	5731.80	5618.80	5731.80	1900212100	5731.80
2005-12-28	5595.40	5647.20	5591.90	5618.80	507933600	5618.80
2005-12-19	5531.60	5608.20	5524.70	5595.40	1110797500	5595.40
2005-12-12	5517.40	5552.60	5489.30	5531.60	1704228100	5531.60
2005-12-05	5528.10	5574.00	5492.80	5517.40	1885436200	5517.40
2005-11-28	5523.80	5554.90	5423.20	5528.10	1811939200	5528.10
2005-11-21	5498.90	5539.00	5486.20	5523.80	1528560500	5523.80
2005-11-14	5465.10	5531.60	5391.70	5498.90	1842172000	5498.90
2005-11-07	5423.60	5481.70	5415.50	5465.10	1779399400	5465.10
2005-10-31	5213.40	5446.40	5213.40	5423.60	2065021700	5423.60
2005-10-24	5142.10	5236.50	5140.10	5213.40	1411205900	5213.40
2005-10-17	5275.00	5303.20	5130.90	5142.10	1650769300	5142.10
2005-10-10	5362.30	5404.40	5245.60	5275.00	1710752400	5275.00
2005-10-03	5477.70	5515.00	5355.70	5362.30	1680191000	5362.30
2005-09-26	5413.60	5508.40	5413.60	5477.70	1544657400	5477.70
2005-09-19	5407.90	5446.60	5354.30	5413.60	1577267200	5413.60
2005-09-12	5359.30	5418.70	5327.10	5407.90	1510595200	5407.90
2005-09-05	5326.80	5376.10	5320.60	5359.30	1248655800	5359.30
2005-08-30	5228.10	5342.10	5228.10	5326.80	1401276400	5326.80
2005-08-22	5312.60	5329.70	5228.10	5228.10	1099210400	5228.10
2005-08-15	5345.80	5367.80	5263.70	5312.60	1444875100	5312.60
2005-08-08	5314.70	5386.40	5314.70	5345.80	1251071500	5345.80
2005-08-01	5282.30	5341.80	5282.30	5314.70	1422138800	5314.70
2005-07-25	5241.80	5308.60	5241.80	5282.30	1707794400	5282.30
2005-07-18	5230.80	5258.40	5180.20	5241.80	1766280000	5241.80
2005-07-11	5232.20	5283.90	5216.20	5230.80	1737326200	5230.80
2005-07-04	5161.00	5237.60	5022.10	5232.20	1666561700	5232.20
2005-06-27	5079.00	5162.60	5036.90	5161.00	1678048400	5161.00
2005-06-20	5077.60	5121.90	5057.90	5079.00	1411269000	5079.00
2005-06-13	5030.40	5098.50	5013.40	5077.60	1567032200	5077.60
2005-06-06	4999.40	5047.30	4976.20	5030.40	1381254700	5030.40
2005-05-31	4986.30	5016.60	4964.00	4999.40	1446363000	4999.40
2005-05-23	4971.80	5004.30	4956.80	4986.30	1568902500	4986.30
2005-05-16	4886.50	4981.10	4869.00	4971.80	1602037900	4971.80
2005-05-09	4918.90	4929.10	4854.20	4886.50	1523355300	4886.50
2005-05-03	4801.70	4924.60	4801.70	4918.90	1481214500	4918.90
2005-04-25	4849.30	4879.60	4773.70	4801.70	1591761300	4801.70
2005-04-18	4891.60	4891.60	4794.80	4849.30	1559284800	4849.30
2005-04-11	4983.60	4983.60	4891.60	4891.60	1434273500	4891.60
2005-04-04	4914.00	4994.10	4877.00	4983.60	1578947300	4983.60
2005-03-29	4922.50	4942.00	4886.50	4914.00	1631195700	4914.00
2005-03-21	4923.30	4952.20	4887.20	4922.50	1820071600	4922.50
2005-03-14	4982.00	5006.10	4920.00	4923.30	1673570700	4923.30
2005-03-07	5036.30	5041.30	4956.80	4982.00	1548972200	4982.00
2005-02-28	5006.80	5042.00	4965.90	5036.30	1673214000	5036.30
2005-02-21	5057.20	5077.80	4970.80	5006.80	1611631800	5006.80
2005-02-14	5044.20	5077.60	5030.50	5057.20	1504287300	5057.20
2005-02-07	4941.50	5045.00	4941.50	5044.20	1670937000	5044.20
2005-01-31	4832.80	4947.40	4832.80	4941.50	1714987700	4941.50
2005-01-24	4803.30	4860.40	4770.10	4832.80	1574217300	4832.80
2005-01-17	4820.80	4852.80	4783.30	4803.30	1523748500	4803.30
2005-01-10	4854.10	4858.90	4765.40	4820.80	1644775700	4820.80
2005-01-04	4814.30	4863.50	4806.00	4854.10	1614771900	4854.10
2004-12-29	4798.10	4826.20	4787.40	4814.30	529168100	4814.30
2004-12-20	4696.80	4807.80	4696.80	4798.10	1050133300	4798.10
2004-12-13	4694.00	4755.00	4688.70	4696.80	1842058500	4696.80
2004-12-06	4747.90	4747.90	4675.00	4694.00	1440330900	4694.00
2004-11-29	4741.50	4791.00	4696.80	4747.90	1637488600	4747.90
2004-11-22	4760.80	4767.70	4713.60	4741.50	1323977400	4741.50
2004-11-15	4793.90	4823.80	4756.50	4760.80	1805626100	4760.80
2004-11-08	4739.80	4798.70	4706.40	4793.90	1661787300	4793.90
2004-11-01	4624.20	4761.90	4624.20	4739.80	1388053200	4739.80
2004-10-25	4615.40	4663.40	4551.60	4624.20	1742982100	4624.20
2004-10-18	4622.70	4675.80	4592.20	4615.40	1540465000	4615.40
2004-10-11	4698.90	4706.90	4605.80	4622.70	1373707500	4622.70
2004-10-04	4659.60	4732.90	4659.60	4698.90	1508416000	4698.90
2004-09-27	4578.10	4663.90	4528.10	4659.60	1693159300	4659.60
2004-09-20	4591.00	4630.70	4557.20	4578.10	1674791400	4578.10
